Session: 1747169803.946475, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169825.8067951, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169847.672329, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169869.884949, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169892.177713, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169913.920715, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169935.6695418, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169957.3031192, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747169979.1252859, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747170001.316048, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747170023.0322912, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747170044.884574, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170044.88479, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170071.125241, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170097.316797, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170124.330595, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170150.077837, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170175.846866, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170202.1511319, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170228.125602, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170254.9392571, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170280.8240378, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170306.9926589, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170333.342145, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170361.010329, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170387.682085, Buyers: 10, Sellers: 10, PropTraders: 3
Session: 1747170414.475776, Buyers: 10, Sellers: 10, PropTraders: 3
