Session: 1747213400.872654, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213618.3178098, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213618.318314, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213634.2283661, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213634.228574, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213650.488246, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213650.4904299, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213666.887864, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213666.888067, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213683.160674, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213683.1608782, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213699.46132, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213699.461547, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213715.798923, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213715.799139, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213732.174203, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213732.174422, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213748.520952, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213748.521179, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213765.203367, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213765.208548, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213781.617801, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213781.618016, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213798.0597508, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213798.0599601, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213814.669761, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213814.669975, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213831.289255, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213831.2894762, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213847.732954, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213847.733183, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213864.204136, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213864.2057972, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213886.44962, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213908.701419, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213931.511286, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213953.7686641, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213976.177697, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747213998.971169, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747214021.2288818, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747214044.0652502, Buyers: 10, Sellers: 10, PropTraders: 2
Session: 1747214066.351184, Buyers: 10, Sellers: 10, PropTraders: 2
