Starting session: experiment_mix_1_noise0.05_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=394.27, price=159, party1=B06, party2=S04
Trade: time=395.23, price=168, party1=B07, party2=S03
Trade: time=396.05, price=183, party1=B03, party2=S08
Trade: time=401.18, price=180, party1=B06, party2=S09
Trade: time=406.55, price=163, party1=B09, party2=S07
Trade: time=409.59, price=183, party1=B01, party2=S03
Trade: time=415.27, price=161, party1=S09, party2=B05
Trade: time=416.45, price=152, party1=S05, party2=B08
Trade: time=418.86, price=169, party1=S07, party2=B08
Trade: time=420.64, price=168, party1=S03, party2=B01
Trade: time=421.50, price=154, party1=S02, party2=B05
Trade: time=424.45, price=162, party1=B02, party2=S06
Trade: time=429.09, price=185, party1=B08, party2=S00
Trade: time=432.00, price=163, party1=B04, party2=S05
Trade: time=441.23, price=153, party1=S09, party2=B07
Trade: time=446.27, price=180, party1=B08, party2=S00
Trade: time=448.73, price=196, party1=B01, party2=S02
Trade: time=450.59, price=160, party1=S00, party2=B02
Trade: time=460.73, price=177, party1=S09, party2=B00
Trade: time=463.00, price=174, party1=S05, party2=B02
Trade: time=467.27, price=158, party1=B05, party2=S03
Trade: time=469.64, price=183, party1=B03, party2=S06
Trade: time=470.68, price=157, party1=S03, party2=B00
Trade: time=475.27, price=162, party1=B06, party2=S00
Trade: time=476.14, price=166, party1=S06, party2=B01
Trade: time=478.36, price=185, party1=B09, party2=S07
Trade: time=481.23, price=176, party1=B07, party2=S05
Trade: time=487.14, price=166, party1=S03, party2=B05
Trade: time=490.36, price=155, party1=B01, party2=S00
Trade: time=491.91, price=179, party1=B09, party2=S05
Trade: time=495.32, price=160, party1=S01, party2=B02
Trade: time=498.82, price=176, party1=B09, party2=S05
Trade: time=501.41, price=159, party1=S01, party2=B08
Trade: time=506.86, price=164, party1=B00, party2=S02
Trade: time=508.23, price=160, party1=B08, party2=S01
Trade: time=509.23, price=144, party1=S03, party2=B04
Trade: time=518.59, price=133, party1=B00, party2=S02
Trade: time=521.50, price=154, party1=B04, party2=S06
Trade: time=521.86, price=145, party1=B07, party2=S05
Trade: time=530.32, price=187, party1=B01, party2=S00
Trade: time=532.36, price=172, party1=S08, party2=B00
Trade: time=536.14, price=159, party1=B09, party2=S05
Trade: time=536.45, price=152, party1=S07, party2=B02
Trade: time=538.73, price=177, party1=B06, party2=S02
Trade: time=539.55, price=167, party1=B07, party2=S05
Trade: time=541.23, price=172, party1=B03, party2=S01
Trade: time=542.32, price=173, party1=S02, party2=B01
Trade: time=553.82, price=142, party1=S07, party2=B02
Trade: time=562.45, price=172, party1=S08, party2=B00
Trade: time=562.55, price=168, party1=B07, party2=S00
Trade: time=565.82, price=159, party1=B05, party2=S06
Trade: time=569.59, price=172, party1=B06, party2=S01
Trade: time=571.41, price=171, party1=B07, party2=S05
Trade: time=574.68, price=161, party1=B09, party2=S03
Trade: time=576.32, price=154, party1=B09, party2=S06
Trade: time=582.73, price=191, party1=S05, party2=B05
Trade: time=584.14, price=156, party1=B01, party2=S07
Trade: time=586.23, price=166, party1=B00, party2=S04
Trade: time=588.09, price=168, party1=B02, party2=S04
Trade: time=591.73, price=176, party1=S05, party2=B05
Trade: time=592.73, price=170, party1=S01, party2=B03
Trade: time=600.14, price=180, party1=S04, party2=B08
Trade: time=602.91, price=165, party1=S05, party2=B09
Trade: time=603.50, price=149, party1=B01, party2=S07
Trade: time=604.95, price=158, party1=S01, party2=B04
Trade: time=607.64, price=184, party1=B06, party2=S02
Trade: time=613.86, price=160, party1=S07, party2=B07
Trade: time=614.05, price=156, party1=B01, party2=S05
Trade: time=618.05, price=175, party1=B01, party2=S00
Trade: time=621.64, price=166, party1=S07, party2=B08
Trade: time=629.55, price=194, party1=B08, party2=S05
Trade: time=636.68, price=145, party1=S04, party2=B04
Trade: time=637.86, price=176, party1=B08, party2=S07
Trade: time=644.64, price=170, party1=S00, party2=B08
Trade: time=650.59, price=189, party1=B04, party2=S06
Trade: time=651.77, price=131, party1=S08, party2=B09
Trade: time=652.73, price=163, party1=B05, party2=S06
Trade: time=655.18, price=183, party1=B07, party2=S00
Trade: time=657.18, price=195, party1=B09, party2=S06
Trade: time=658.09, price=156, party1=S01, party2=B02
Trade: time=659.45, price=163, party1=B06, party2=S01
Trade: time=667.23, price=190, party1=B07, party2=S05
Trade: time=667.32, price=187, party1=B01, party2=S04
Trade: time=672.82, price=162, party1=B02, party2=S05
Trade: time=673.73, price=182, party1=B05, party2=S00
Trade: time=676.73, price=163, party1=S09, party2=B08
Trade: time=677.64, price=176, party1=B04, party2=S01
Trade: time=678.55, price=163, party1=S00, party2=B01
Trade: time=679.95, price=174, party1=B09, party2=S05
Trade: time=687.18, price=170, party1=B07, party2=S01
Trade: time=694.73, price=162, party1=B08, party2=S01
Trade: time=695.27, price=165, party1=S03, party2=B02
Trade: time=696.14, price=173, party1=B03, party2=S00
Trade: time=698.27, price=179, party1=B09, party2=S09
Trade: time=701.09, price=148, party1=S04, party2=B03
Trade: time=702.41, price=159, party1=B04, party2=S07
Trade: time=708.41, price=141, party1=B02, party2=S09
Trade: time=708.64, price=154, party1=S08, party2=B03
Trade: time=711.18, price=182, party1=B06, party2=S05
Trade: time=720.82, price=150, party1=S00, party2=B02
Trade: time=722.18, price=171, party1=B01, party2=S09
Trade: time=723.32, price=175, party1=S04, party2=B02
Trade: time=723.64, price=169, party1=B05, party2=S06
Trade: time=728.05, price=170, party1=B03, party2=S03
Trade: time=734.73, price=182, party1=B07, party2=S01
Trade: time=742.59, price=164, party1=S09, party2=B09
Trade: time=743.86, price=160, party1=S03, party2=B04
Trade: time=744.45, price=165, party1=B01, party2=S08
Trade: time=748.14, price=197, party1=B02, party2=S04
Trade: time=751.68, price=180, party1=B07, party2=S03
Trade: time=753.23, price=174, party1=B09, party2=S01
Trade: time=753.73, price=171, party1=B06, party2=S04
Trade: time=759.05, price=154, party1=B05, party2=S00
Trade: time=759.27, price=163, party1=S01, party2=B02
Trade: time=764.41, price=168, party1=B03, party2=S09
Trade: time=766.73, price=180, party1=S05, party2=B08
Trade: time=772.68, price=152, party1=S06, party2=B05
Trade: time=773.86, price=166, party1=S00, party2=B01
Trade: time=777.32, price=163, party1=S08, party2=B09
Trade: time=777.73, price=176, party1=S07, party2=B06
Trade: time=782.73, price=171, party1=S05, party2=B03
Trade: time=789.50, price=167, party1=B09, party2=S09
Trade: time=795.41, price=181, party1=B06, party2=S01
Trade: time=798.95, price=161, party1=B05, party2=S04
Trade: time=800.18, price=175, party1=B08, party2=S06
Trade: time=804.68, price=172, party1=B01, party2=S08
Trade: time=806.14, price=187, party1=S06, party2=B07
Trade: time=811.50, price=167, party1=S02, party2=B04
Trade: time=812.64, price=169, party1=S09, party2=B02
Trade: time=814.00, price=154, party1=S00, party2=B07
Trade: time=818.77, price=166, party1=B02, party2=S08
Trade: time=822.27, price=165, party1=S05, party2=B00
Trade: time=824.64, price=167, party1=B08, party2=S09
Trade: time=825.86, price=153, party1=B02, party2=S00
Trade: time=832.50, price=161, party1=B01, party2=S08
Trade: time=836.45, price=175, party1=B00, party2=S05
Trade: time=846.45, price=151, party1=B03, party2=S05
Trade: time=851.09, price=181, party1=B00, party2=S00
Trade: time=852.23, price=168, party1=B07, party2=S07
Trade: time=853.55, price=191, party1=S08, party2=B06
Trade: time=855.68, price=191, party1=B01, party2=S06
Trade: time=855.95, price=181, party1=B00, party2=S05
Trade: time=862.27, price=169, party1=B04, party2=S07
Trade: time=865.55, price=162, party1=S08, party2=B07
Trade: time=871.73, price=192, party1=B07, party2=S03
Trade: time=872.00, price=152, party1=B03, party2=S02
Trade: time=872.95, price=169, party1=S08, party2=B04
Trade: time=873.77, price=169, party1=B09, party2=S05
Trade: time=876.00, price=144, party1=S03, party2=B05
Trade: time=876.05, price=159, party1=S09, party2=B02
Trade: time=876.45, price=177, party1=S00, party2=B07
Trade: time=884.82, price=185, party1=B07, party2=S03
Trade: time=892.27, price=169, party1=B01, party2=S02
Trade: time=896.45, price=155, party1=S05, party2=B08
Trade: time=896.77, price=134, party1=B05, party2=S05
Trade: time=905.41, price=188, party1=B04, party2=S02
Trade: time=907.45, price=173, party1=B01, party2=S07
Trade: time=913.32, price=176, party1=S01, party2=B02
Trade: time=915.27, price=171, party1=B06, party2=S07
Trade: time=916.59, price=167, party1=S02, party2=B07
Trade: time=921.95, price=193, party1=B07, party2=S09
Trade: time=924.23, price=162, party1=S06, party2=B05
Trade: time=934.55, price=162, party1=B09, party2=S07
Trade: time=936.27, price=145, party1=S05, party2=B00
Trade: time=937.09, price=178, party1=B02, party2=S00
Trade: time=945.82, price=179, party1=B02, party2=S05
Trade: time=951.95, price=163, party1=S07, party2=B05
Trade: time=952.18, price=155, party1=B03, party2=S00
Trade: time=961.73, price=170, party1=S06, party2=B05
Trade: time=965.95, price=199, party1=S02, party2=B01
Trade: time=966.50, price=167, party1=S00, party2=B08
Trade: time=970.91, price=179, party1=B08, party2=S09
Trade: time=973.50, price=167, party1=S07, party2=B07
Trade: time=981.95, price=180, party1=B01, party2=S01
Trade: time=982.18, price=167, party1=B07, party2=S08
Trade: time=985.27, price=178, party1=S02, party2=B05
Trade: time=992.64, price=185, party1=B03, party2=S02
Trade: time=993.09, price=187, party1=B07, party2=S09
Trade: time=997.86, price=181, party1=S00, party2=B05
Trade: time=1000.32, price=164, party1=S03, party2=B02
Trade: time=1001.45, price=169, party1=S01, party2=B04
Trade: time=1002.18, price=179, party1=B05, party2=S04
Trade: time=1009.82, price=152, party1=B04, party2=S08
Trade: time=1024.18, price=159, party1=B07, party2=S09
Trade: time=1025.00, price=176, party1=S02, party2=B02
Trade: time=1025.77, price=160, party1=S07, party2=B08
Trade: time=1030.64, price=175, party1=B09, party2=S07
Trade: time=1032.09, price=177, party1=B02, party2=S02
Trade: time=1041.41, price=186, party1=B04, party2=S04
Trade: time=1055.41, price=160, party1=B00, party2=S01
Trade: time=1056.91, price=178, party1=S04, party2=B03
Trade: time=1059.73, price=170, party1=S02, party2=B04
Trade: time=1062.64, price=165, party1=S06, party2=B00
Trade: time=1067.00, price=161, party1=S03, party2=B07
Trade: time=1071.18, price=162, party1=S03, party2=B09
Trade: time=1077.00, price=172, party1=B08, party2=S07
Trade: time=1083.68, price=157, party1=B02, party2=S06
Trade: time=1085.41, price=161, party1=S02, party2=B09
Trade: time=1088.27, price=177, party1=B06, party2=S01
Trade: time=1096.68, price=159, party1=S05, party2=B06
Trade: time=1097.05, price=161, party1=S07, party2=B04
Trade: time=1098.41, price=174, party1=S06, party2=B01
Trade: time=1104.00, price=175, party1=S00, party2=B00
Trade: time=1105.32, price=160, party1=S01, party2=B02
Trade: time=1105.36, price=165, party1=S03, party2=B07
Trade: time=1112.27, price=173, party1=S03, party2=B04
Trade: time=1114.23, price=168, party1=B09, party2=S09
Trade: time=1120.05, price=181, party1=B07, party2=S05
Trade: time=1122.36, price=165, party1=S05, party2=B09
Trade: time=1122.95, price=174, party1=S03, party2=B06
Trade: time=1123.95, price=162, party1=B02, party2=S01
Trade: time=1128.00, price=159, party1=S09, party2=B08
Trade: time=1132.14, price=153, party1=S01, party2=B05
Trade: time=1138.95, price=153, party1=S09, party2=B03
Trade: time=1141.45, price=192, party1=B00, party2=S04
Trade: time=1141.77, price=158, party1=B05, party2=S07
Trade: time=1149.05, price=182, party1=B01, party2=S05
Trade: time=1155.50, price=173, party1=B07, party2=S04
Trade: time=1158.27, price=183, party1=S00, party2=B06
Trade: time=1160.50, price=167, party1=B01, party2=S06
Trade: time=1163.00, price=158, party1=B06, party2=S05
Trade: time=1167.86, price=169, party1=B05, party2=S06
Trade: time=1168.77, price=167, party1=B01, party2=S09
Trade: time=1170.73, price=149, party1=B06, party2=S05
Trade: time=1173.73, price=152, party1=B02, party2=S04
Trade: time=1175.09, price=184, party1=S00, party2=B06
Trade: time=1178.05, price=159, party1=B00, party2=S07
Trade: time=1182.86, price=158, party1=B04, party2=S02
Trade: time=1184.86, price=190, party1=B01, party2=S09
Trade: time=1185.27, price=160, party1=S01, party2=B00
Trade: time=1189.18, price=180, party1=B06, party2=S04
Trade: time=1189.95, price=163, party1=S07, party2=B04
Trade: time=1191.86, price=160, party1=B08, party2=S07
Trade: time=1192.73, price=169, party1=B09, party2=S09
Trade: time=1194.14, price=175, party1=B04, party2=S02
Trade: time=1197.64, price=156, party1=S08, party2=B06
Trade: time=1201.64, price=179, party1=S06, party2=B09
Trade: time=1206.64, price=156, party1=S07, party2=B03
Trade: time=1213.50, price=167, party1=B09, party2=S03
Trade: time=1219.05, price=167, party1=S00, party2=B02
Trade: time=1219.45, price=167, party1=S02, party2=B07
Trade: time=1222.50, price=187, party1=S09, party2=B01
Trade: time=1222.59, price=182, party1=B08, party2=S01
Trade: time=1224.77, price=166, party1=S03, party2=B09
Trade: time=1226.27, price=161, party1=S07, party2=B02
Trade: time=1230.23, price=176, party1=B06, party2=S01
Trade: time=1232.09, price=197, party1=B07, party2=S07
Trade: time=1236.91, price=180, party1=B04, party2=S04
Trade: time=1240.68, price=174, party1=S00, party2=B02
Trade: time=1247.09, price=156, party1=B08, party2=S08
Trade: time=1248.05, price=164, party1=B09, party2=S02
Trade: time=1250.55, price=142, party1=S01, party2=B05
Trade: time=1253.82, price=161, party1=S00, party2=B07
Trade: time=1264.27, price=153, party1=S00, party2=B06
Trade: time=1271.55, price=147, party1=B08, party2=S06
Trade: time=1272.23, price=168, party1=S07, party2=B02
Trade: time=1275.14, price=166, party1=S03, party2=B03
Trade: time=1279.05, price=161, party1=S04, party2=B06
Trade: time=1288.45, price=165, party1=B01, party2=S00
Trade: time=1289.00, price=178, party1=B09, party2=S01
Trade: time=1296.45, price=175, party1=B01, party2=S07
Trade: time=1308.09, price=180, party1=B09, party2=S00
Trade: time=1310.91, price=165, party1=S09, party2=B08
Trade: time=1314.41, price=152, party1=S02, party2=B04
Trade: time=1316.45, price=162, party1=B05, party2=S04
Trade: time=1321.82, price=157, party1=S00, party2=B06
Trade: time=1323.45, price=156, party1=S07, party2=B03
Trade: time=1326.09, price=186, party1=B00, party2=S06
Trade: time=1327.41, price=167, party1=S01, party2=B02
Trade: time=1331.41, price=186, party1=B02, party2=S05
Trade: time=1334.95, price=177, party1=S05, party2=B08
Trade: time=1341.73, price=170, party1=S01, party2=B03
Trade: time=1347.59, price=163, party1=B03, party2=S01
Trade: time=1352.73, price=155, party1=S06, party2=B07
Trade: time=1357.68, price=149, party1=S06, party2=B07
Trade: time=1358.95, price=167, party1=B09, party2=S04
Trade: time=1374.18, price=155, party1=B00, party2=S04
Trade: time=1376.41, price=169, party1=B06, party2=S09
Trade: time=1383.77, price=179, party1=B05, party2=S06
Trade: time=1384.18, price=170, party1=B09, party2=S05
Trade: time=1393.45, price=160, party1=B03, party2=S02
Trade: time=1394.59, price=181, party1=B08, party2=S08
Trade: time=1400.18, price=143, party1=S00, party2=B07
Trade: time=1402.00, price=157, party1=S04, party2=B09
Trade: time=1405.05, price=171, party1=B04, party2=S09
Trade: time=1410.50, price=146, party1=B09, party2=S02
Trade: time=1412.68, price=160, party1=S09, party2=B00
Trade: time=1413.36, price=161, party1=B05, party2=S02
Trade: time=1414.41, price=173, party1=B03, party2=S06
Trade: time=1420.59, price=173, party1=B02, party2=S08
Trade: time=1421.41, price=166, party1=S09, party2=B01
Trade: time=1440.27, price=177, party1=S01, party2=B08
Trade: time=1447.23, price=164, party1=B02, party2=S03
Trade: time=1452.64, price=154, party1=B07, party2=S00
Trade: time=1453.45, price=149, party1=B01, party2=S08
Trade: time=1456.95, price=153, party1=B01, party2=S02
Trade: time=1470.23, price=141, party1=S05, party2=B04
Trade: time=1472.59, price=149, party1=B03, party2=S05
Trade: time=1480.45, price=152, party1=B04, party2=S04
Trade: time=1480.64, price=163, party1=S05, party2=B01
Trade: time=1483.18, price=180, party1=B04, party2=S09
Trade: time=1489.95, price=150, party1=B05, party2=S04
Trade: time=1491.05, price=166, party1=S01, party2=B03
Trade: time=1493.00, price=168, party1=S06, party2=B02
Trade: time=1494.95, price=144, party1=S00, party2=B08
Trade: time=1497.68, price=151, party1=B05, party2=S04
Trade: time=1503.09, price=161, party1=B00, party2=S05
Trade: time=1506.14, price=153, party1=B04, party2=S00
Trade: time=1507.36, price=154, party1=S02, party2=B09
Trade: time=1512.73, price=155, party1=B05, party2=S05
Trade: time=1514.09, price=149, party1=B03, party2=S07
Trade: time=1527.82, price=174, party1=B01, party2=S07
Trade: time=1531.91, price=153, party1=S04, party2=B03
Trade: time=1535.68, price=152, party1=S08, party2=B08
Trade: time=1536.95, price=153, party1=B03, party2=S06
Trade: time=1537.59, price=163, party1=B04, party2=S09
Trade: time=1539.14, price=164, party1=S02, party2=B07
Trade: time=1540.50, price=151, party1=B01, party2=S07
Trade: time=1542.36, price=175, party1=B00, party2=S00
Trade: time=1543.36, price=151, party1=B03, party2=S03
Trade: time=1545.59, price=153, party1=B04, party2=S05
Trade: time=1548.95, price=153, party1=S07, party2=B01
Trade: time=1549.82, price=166, party1=B06, party2=S01
Trade: time=1550.64, price=161, party1=B07, party2=S00
Trade: time=1557.32, price=181, party1=B04, party2=S07
Trade: time=1558.41, price=161, party1=S08, party2=B04
Trade: time=1561.50, price=158, party1=B05, party2=S08
Trade: time=1561.82, price=170, party1=B06, party2=S02
Trade: time=1561.86, price=143, party1=B09, party2=S00
Trade: time=1571.27, price=162, party1=B03, party2=S06
Trade: time=1577.09, price=155, party1=S03, party2=B05
Trade: time=1579.50, price=164, party1=S07, party2=B06
Trade: time=1579.86, price=178, party1=B01, party2=S08
Trade: time=1582.05, price=155, party1=B00, party2=S05
Trade: time=1583.36, price=143, party1=B08, party2=S03
Trade: time=1587.59, price=168, party1=B02, party2=S04
Trade: time=1590.00, price=140, party1=S00, party2=B03
Trade: time=1594.86, price=151, party1=S05, party2=B08
Trade: time=1596.55, price=156, party1=B09, party2=S00
Trade: time=1599.18, price=145, party1=B00, party2=S06
Trade: time=1600.36, price=151, party1=B03, party2=S05
Trade: time=1601.45, price=170, party1=B08, party2=S02
Trade: time=1606.14, price=180, party1=B07, party2=S06
Trade: time=1612.09, price=156, party1=S09, party2=B06
Trade: time=1614.14, price=162, party1=B03, party2=S07
Trade: time=1619.36, price=161, party1=S09, party2=B08
Trade: time=1626.32, price=178, party1=B07, party2=S09
Trade: time=1632.00, price=165, party1=B03, party2=S09
Trade: time=1640.05, price=177, party1=B03, party2=S09
