Starting session: experiment_mix_2_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=480.70, price=168, party1=S09, party2=B03
Trade: time=489.13, price=173, party1=S09, party2=B04
Trade: time=492.00, price=168, party1=B08, party2=S07
Trade: time=502.13, price=164, party1=B06, party2=S04
Trade: time=502.52, price=151, party1=B04, party2=S09
Trade: time=504.35, price=165, party1=B03, party2=S01
Trade: time=505.43, price=163, party1=S07, party2=B06
Trade: time=510.52, price=182, party1=B07, party2=S00
Trade: time=511.52, price=181, party1=B04, party2=S09
Trade: time=518.26, price=176, party1=B07, party2=S06
Trade: time=519.87, price=168, party1=S07, party2=B08
Trade: time=525.17, price=157, party1=S01, party2=B00
Trade: time=527.30, price=159, party1=B07, party2=S05
Trade: time=528.39, price=148, party1=S03, party2=B09
Trade: time=529.04, price=169, party1=S00, party2=B08
Trade: time=530.78, price=157, party1=B01, party2=S01
Trade: time=539.39, price=163, party1=S02, party2=B03
Trade: time=545.13, price=179, party1=B08, party2=S05
Trade: time=552.26, price=142, party1=B04, party2=S01
Trade: time=557.00, price=155, party1=S01, party2=B05
Trade: time=559.39, price=146, party1=B09, party2=S06
Trade: time=561.87, price=166, party1=B07, party2=S07
Trade: time=562.74, price=166, party1=B02, party2=S08
Trade: time=573.70, price=159, party1=B07, party2=S01
Trade: time=574.04, price=164, party1=S09, party2=B09
Trade: time=574.35, price=152, party1=S04, party2=B03
Trade: time=577.87, price=170, party1=B01, party2=S03
Trade: time=584.57, price=173, party1=S06, party2=B00
Trade: time=601.26, price=159, party1=S05, party2=B09
Trade: time=602.35, price=155, party1=S09, party2=B08
Trade: time=607.04, price=160, party1=S07, party2=B08
Trade: time=607.96, price=161, party1=S03, party2=B07
Trade: time=613.91, price=175, party1=B01, party2=S00
Trade: time=614.22, price=163, party1=B08, party2=S08
Trade: time=624.91, price=154, party1=S04, party2=B01
Trade: time=628.17, price=157, party1=B06, party2=S06
Trade: time=628.39, price=158, party1=S00, party2=B05
Trade: time=634.74, price=153, party1=S09, party2=B00
Trade: time=636.96, price=170, party1=S05, party2=B06
Trade: time=642.30, price=150, party1=B00, party2=S09
Trade: time=642.57, price=151, party1=S01, party2=B02
Trade: time=648.13, price=170, party1=S07, party2=B06
Trade: time=653.35, price=172, party1=S09, party2=B01
Trade: time=653.74, price=183, party1=P01, party2=B00
Trade: time=654.00, price=183, party1=P01, party2=B09
Trade: time=654.74, price=183, party1=P01, party2=B04
Trade: time=655.04, price=178, party1=B00, party2=S07
Trade: time=655.43, price=183, party1=B03, party2=P01
Trade: time=659.39, price=165, party1=B02, party2=S07
Trade: time=660.83, price=166, party1=B09, party2=S08
Trade: time=662.91, price=164, party1=S01, party2=B05
Trade: time=667.87, price=188, party1=B01, party2=S00
Trade: time=682.04, price=171, party1=B09, party2=S00
Trade: time=682.35, price=162, party1=B08, party2=S06
Trade: time=686.65, price=184, party1=B07, party2=S09
Trade: time=687.74, price=159, party1=S06, party2=B06
Trade: time=691.87, price=156, party1=S01, party2=B01
Trade: time=694.48, price=148, party1=S07, party2=B06
Trade: time=697.17, price=153, party1=B04, party2=S01
Trade: time=700.61, price=165, party1=B08, party2=S05
Trade: time=701.26, price=163, party1=B00, party2=S03
Trade: time=703.04, price=170, party1=S08, party2=B09
Trade: time=706.26, price=170, party1=S05, party2=B03
Trade: time=721.83, price=170, party1=S06, party2=B00
Trade: time=745.96, price=174, party1=B00, party2=S05
Trade: time=754.87, price=158, party1=B04, party2=S08
Trade: time=761.87, price=182, party1=B05, party2=S08
Trade: time=762.30, price=172, party1=B08, party2=S02
Trade: time=773.26, price=177, party1=B00, party2=S08
Trade: time=776.87, price=169, party1=S09, party2=B07
Trade: time=777.78, price=175, party1=S00, party2=B05
Trade: time=781.30, price=177, party1=S04, party2=B04
Trade: time=783.70, price=175, party1=B00, party2=S06
Trade: time=802.39, price=170, party1=B00, party2=S07
Trade: time=809.70, price=176, party1=S08, party2=B03
Trade: time=810.04, price=172, party1=B00, party2=S01
