Starting session: experiment_mix_2_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=363.70, price=161, party1=S06, party2=B01
Trade: time=369.78, price=148, party1=B07, party2=S03
Trade: time=372.65, price=163, party1=S08, party2=B09
Trade: time=374.57, price=163, party1=B07, party2=S04
Trade: time=377.39, price=184, party1=S00, party2=B06
Trade: time=381.13, price=169, party1=B00, party2=S02
Trade: time=384.09, price=165, party1=S08, party2=B02
Trade: time=385.09, price=165, party1=B05, party2=S01
Trade: time=390.48, price=194, party1=P01, party2=B04
Trade: time=391.43, price=168, party1=S08, party2=B03
Trade: time=391.74, price=156, party1=B08, party2=S00
Trade: time=393.61, price=161, party1=S08, party2=B00
Trade: time=396.70, price=182, party1=S06, party2=B07
Trade: time=401.22, price=178, party1=S07, party2=B09
Trade: time=402.87, price=189, party1=B07, party2=S04
Trade: time=407.26, price=188, party1=B02, party2=S02
Trade: time=412.52, price=132, party1=S03, party2=B07
Trade: time=417.04, price=194, party1=P01, party2=B01
Trade: time=417.39, price=176, party1=B00, party2=S09
Trade: time=418.30, price=167, party1=B04, party2=S02
Trade: time=418.43, price=173, party1=S05, party2=B06
Trade: time=419.35, price=192, party1=B02, party2=S07
Trade: time=424.22, price=169, party1=S06, party2=B04
Trade: time=428.48, price=172, party1=B07, party2=S08
Trade: time=429.30, price=174, party1=S09, party2=B00
Trade: time=438.09, price=180, party1=B06, party2=S03
Trade: time=438.17, price=156, party1=B00, party2=S07
Trade: time=441.52, price=159, party1=S01, party2=B01
Trade: time=442.65, price=190, party1=S08, party2=B05
Trade: time=449.65, price=140, party1=B01, party2=S02
Trade: time=450.04, price=181, party1=B05, party2=S03
Trade: time=450.52, price=136, party1=B06, party2=S04
Trade: time=454.57, price=148, party1=S09, party2=B03
Trade: time=457.78, price=148, party1=B03, party2=S08
Trade: time=461.17, price=173, party1=B04, party2=S06
Trade: time=467.09, price=173, party1=B04, party2=S01
Trade: time=470.57, price=194, party1=P01, party2=B07
Trade: time=472.17, price=155, party1=B04, party2=S00
Trade: time=472.30, price=162, party1=S09, party2=B09
Trade: time=478.74, price=154, party1=S04, party2=B04
