Starting session: experiment_mix_2_noise0.05_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=4.35, price=162, party1=S05, party2=B04
Trade: time=13.91, price=166, party1=B01, party2=S09
Trade: time=22.52, price=172, party1=B04, party2=S00
Trade: time=23.13, price=143, party1=S06, party2=B01
Trade: time=23.57, price=175, party1=S07, party2=B09
Trade: time=28.22, price=187, party1=B08, party2=S04
Trade: time=29.70, price=169, party1=S00, party2=B00
Trade: time=39.96, price=178, party1=B07, party2=S00
Trade: time=40.09, price=174, party1=B04, party2=S05
Trade: time=41.48, price=151, party1=B08, party2=S06
Trade: time=42.61, price=158, party1=S07, party2=B03
Trade: time=42.96, price=151, party1=B06, party2=S09
Trade: time=45.91, price=180, party1=B04, party2=S03
Trade: time=48.78, price=161, party1=B07, party2=S08
Trade: time=52.04, price=167, party1=S09, party2=B06
Trade: time=57.39, price=159, party1=S01, party2=B00
Trade: time=64.96, price=152, party1=B09, party2=S03
Trade: time=66.48, price=163, party1=B04, party2=S05
Trade: time=81.96, price=165, party1=S02, party2=B03
Trade: time=82.00, price=154, party1=B01, party2=S09
Trade: time=87.96, price=146, party1=S02, party2=B08
Trade: time=88.83, price=139, party1=S04, party2=B09
Trade: time=89.74, price=171, party1=S03, party2=B06
Trade: time=93.09, price=136, party1=S01, party2=B09
Trade: time=93.83, price=157, party1=S05, party2=B05
Trade: time=100.65, price=175, party1=B09, party2=S05
Trade: time=105.91, price=154, party1=B08, party2=S06
Trade: time=108.83, price=136, party1=S04, party2=B06
Trade: time=110.48, price=152, party1=S05, party2=B09
Trade: time=123.57, price=150, party1=B09, party2=S00
Trade: time=124.57, price=147, party1=S08, party2=B07
Trade: time=128.35, price=186, party1=B03, party2=S03
Trade: time=128.96, price=148, party1=S08, party2=B00
Trade: time=130.78, price=168, party1=S09, party2=B09
Trade: time=135.00, price=160, party1=B02, party2=S07
Trade: time=138.96, price=149, party1=S06, party2=B07
Trade: time=140.52, price=154, party1=S09, party2=B09
Trade: time=144.09, price=155, party1=B03, party2=S08
Trade: time=156.52, price=165, party1=B05, party2=S03
Trade: time=160.57, price=160, party1=B05, party2=S04
Trade: time=167.52, price=182, party1=S08, party2=B08
Trade: time=168.91, price=167, party1=S00, party2=B03
Trade: time=170.26, price=165, party1=S07, party2=B07
Trade: time=174.70, price=169, party1=B04, party2=S00
Trade: time=176.35, price=167, party1=S01, party2=B02
Trade: time=183.74, price=164, party1=B04, party2=S05
Trade: time=185.39, price=162, party1=B03, party2=S08
Trade: time=185.78, price=166, party1=S04, party2=B02
Trade: time=190.96, price=175, party1=S09, party2=B03
Trade: time=195.70, price=171, party1=S03, party2=B03
Trade: time=197.91, price=164, party1=S06, party2=B08
Trade: time=202.48, price=164, party1=B08, party2=S01
Trade: time=203.65, price=153, party1=S04, party2=B06
Trade: time=207.78, price=175, party1=B01, party2=S03
Trade: time=213.04, price=178, party1=B01, party2=S09
Trade: time=213.43, price=141, party1=B00, party2=S02
Trade: time=215.61, price=162, party1=S08, party2=B05
Trade: time=216.57, price=167, party1=S08, party2=B08
Trade: time=225.13, price=169, party1=B01, party2=S04
Trade: time=228.61, price=157, party1=B06, party2=S00
Trade: time=228.87, price=174, party1=S06, party2=B01
Trade: time=232.91, price=173, party1=B01, party2=S08
Trade: time=235.04, price=162, party1=B00, party2=S03
Trade: time=236.96, price=172, party1=S02, party2=B04
Trade: time=240.22, price=168, party1=B00, party2=S02
Trade: time=244.87, price=190, party1=B01, party2=S09
Trade: time=245.65, price=166, party1=B06, party2=S00
Trade: time=253.57, price=167, party1=S00, party2=B03
Trade: time=260.04, price=168, party1=S07, party2=B00
Trade: time=262.09, price=178, party1=B07, party2=S01
Trade: time=270.13, price=148, party1=S01, party2=B05
Trade: time=273.61, price=148, party1=B05, party2=S03
Trade: time=278.74, price=168, party1=B03, party2=S00
Trade: time=282.74, price=190, party1=B06, party2=S03
Trade: time=283.39, price=164, party1=B07, party2=S06
Trade: time=291.91, price=150, party1=B00, party2=S08
Trade: time=293.74, price=159, party1=B08, party2=S03
Trade: time=294.43, price=156, party1=B06, party2=S08
Trade: time=296.13, price=152, party1=S05, party2=B03
Trade: time=300.04, price=169, party1=S04, party2=P01
Trade: time=303.17, price=153, party1=S06, party2=P00
Trade: time=303.35, price=164, party1=B08, party2=P00
Trade: time=303.39, price=169, party1=P01, party2=P00
Trade: time=306.39, price=169, party1=P00, party2=B07
Trade: time=308.87, price=136, party1=S07, party2=B07
Trade: time=309.48, price=169, party1=P01, party2=B09
Trade: time=316.13, price=166, party1=B07, party2=S08
Trade: time=319.96, price=155, party1=S04, party2=B00
Trade: time=321.65, price=169, party1=P00, party2=B03
Trade: time=322.35, price=169, party1=P01, party2=B01
Trade: time=323.35, price=141, party1=B05, party2=S09
Trade: time=324.61, price=169, party1=P00, party2=B07
Trade: time=327.48, price=150, party1=S05, party2=B04
Trade: time=328.17, price=169, party1=P01, party2=B01
Trade: time=328.48, price=169, party1=P00, party2=B03
Trade: time=329.35, price=163, party1=B08, party2=S02
Trade: time=332.74, price=169, party1=P00, party2=B02
Trade: time=333.65, price=169, party1=P01, party2=B06
Trade: time=337.35, price=166, party1=B05, party2=S05
Trade: time=340.78, price=169, party1=P00, party2=B04
Trade: time=342.35, price=169, party1=P01, party2=B01
Trade: time=345.43, price=151, party1=S09, party2=B08
Trade: time=346.96, price=169, party1=P00, party2=B04
Trade: time=348.78, price=169, party1=P01, party2=B05
Trade: time=351.00, price=169, party1=P00, party2=B03
Trade: time=353.22, price=169, party1=P01, party2=B01
Trade: time=354.78, price=169, party1=P00, party2=B07
Trade: time=357.43, price=159, party1=S09, party2=B08
Trade: time=365.35, price=169, party1=P01, party2=B00
Trade: time=366.26, price=152, party1=B08, party2=S04
Trade: time=367.43, price=165, party1=S09, party2=B04
Trade: time=367.65, price=169, party1=P00, party2=B05
Trade: time=369.26, price=148, party1=B03, party2=S08
Trade: time=370.70, price=163, party1=S05, party2=B04
Trade: time=376.22, price=169, party1=P01, party2=B07
Trade: time=377.74, price=153, party1=B00, party2=S00
Trade: time=381.04, price=169, party1=P00, party2=B06
Trade: time=387.96, price=169, party1=P01, party2=B07
Trade: time=388.22, price=169, party1=P00, party2=B06
Trade: time=389.04, price=161, party1=B00, party2=S06
Trade: time=390.00, price=169, party1=P00, party2=B05
Trade: time=394.30, price=158, party1=B00, party2=S03
Trade: time=395.43, price=160, party1=B03, party2=S08
Trade: time=401.57, price=151, party1=B03, party2=S04
Trade: time=401.65, price=169, party1=P01, party2=B06
Trade: time=403.09, price=169, party1=P00, party2=B04
Trade: time=414.43, price=169, party1=P01, party2=B08
Trade: time=415.87, price=169, party1=P00, party2=B04
Trade: time=416.91, price=165, party1=B07, party2=S02
Trade: time=417.78, price=169, party1=P01, party2=B09
Trade: time=419.57, price=169, party1=P01, party2=B03
Trade: time=422.39, price=169, party1=P00, party2=B06
Trade: time=423.74, price=152, party1=S03, party2=B04
Trade: time=429.00, price=169, party1=P01, party2=B02
Trade: time=429.17, price=169, party1=P00, party2=B06
Trade: time=430.22, price=169, party1=P00, party2=B08
Trade: time=432.78, price=169, party1=P01, party2=B07
Trade: time=433.17, price=169, party1=P00, party2=B01
Trade: time=433.39, price=168, party1=S04, party2=B06
Trade: time=437.13, price=169, party1=P00, party2=B09
Trade: time=437.61, price=169, party1=P01, party2=B01
Trade: time=438.17, price=169, party1=P00, party2=B06
Trade: time=438.57, price=168, party1=B02, party2=S02
Trade: time=439.91, price=161, party1=S06, party2=B00
Trade: time=442.70, price=153, party1=S05, party2=B09
Trade: time=445.04, price=169, party1=P01, party2=B08
Trade: time=446.87, price=162, party1=S04, party2=B00
Trade: time=449.48, price=160, party1=S07, party2=B06
Trade: time=454.04, price=169, party1=P00, party2=B09
Trade: time=455.74, price=169, party1=P01, party2=B00
Trade: time=457.57, price=169, party1=P00, party2=B07
Trade: time=459.09, price=169, party1=P01, party2=B05
Trade: time=459.78, price=169, party1=P00, party2=B08
Trade: time=460.04, price=169, party1=P01, party2=B02
Trade: time=460.17, price=161, party1=B00, party2=S02
Trade: time=461.04, price=169, party1=P00, party2=B02
Trade: time=462.39, price=147, party1=S07, party2=B07
Trade: time=462.78, price=169, party1=P01, party2=B09
Trade: time=463.78, price=151, party1=B04, party2=S01
Trade: time=467.17, price=163, party1=B07, party2=S09
Trade: time=476.00, price=169, party1=P00, party2=B00
Trade: time=477.83, price=165, party1=B09, party2=S00
Trade: time=478.39, price=169, party1=P01, party2=B06
Trade: time=479.61, price=169, party1=P00, party2=B04
Trade: time=481.74, price=159, party1=B03, party2=S07
Trade: time=482.17, price=163, party1=S08, party2=B00
Trade: time=482.87, price=156, party1=S00, party2=B08
Trade: time=484.96, price=151, party1=S03, party2=B01
Trade: time=486.83, price=169, party1=P01, party2=B08
Trade: time=488.13, price=169, party1=P00, party2=B06
Trade: time=491.00, price=169, party1=P01, party2=B02
Trade: time=491.30, price=169, party1=P00, party2=B08
Trade: time=493.57, price=169, party1=P01, party2=B06
Trade: time=496.26, price=169, party1=P00, party2=B09
Trade: time=503.65, price=169, party1=P01, party2=B02
Trade: time=503.83, price=169, party1=P00, party2=B05
Trade: time=504.09, price=164, party1=B00, party2=S07
Trade: time=504.17, price=157, party1=B04, party2=S00
Trade: time=506.35, price=169, party1=P01, party2=B09
Trade: time=507.22, price=169, party1=S03, party2=B03
Trade: time=508.74, price=169, party1=P00, party2=B08
Trade: time=510.17, price=154, party1=S03, party2=B07
Trade: time=512.35, price=143, party1=S07, party2=B00
Trade: time=513.61, price=162, party1=S09, party2=B09
Trade: time=517.96, price=145, party1=S08, party2=B01
Trade: time=522.13, price=169, party1=P01, party2=B07
Trade: time=528.65, price=169, party1=P00, party2=B00
Trade: time=529.74, price=169, party1=P01, party2=B01
Trade: time=530.39, price=169, party1=P00, party2=B09
Trade: time=534.39, price=169, party1=P01, party2=B07
Trade: time=540.35, price=169, party1=P00, party2=B08
Trade: time=540.48, price=163, party1=B04, party2=S02
Trade: time=543.22, price=153, party1=S02, party2=B01
Trade: time=545.83, price=167, party1=B08, party2=S03
Trade: time=549.43, price=169, party1=P01, party2=B05
Trade: time=550.00, price=169, party1=P00, party2=B02
Trade: time=553.22, price=169, party1=P01, party2=B04
Trade: time=553.70, price=169, party1=P00, party2=B02
Trade: time=554.35, price=169, party1=P01, party2=B00
Trade: time=559.04, price=169, party1=P00, party2=B00
Trade: time=560.83, price=169, party1=P01, party2=B01
Trade: time=564.35, price=169, party1=P00, party2=B06
Trade: time=568.13, price=163, party1=B03, party2=S00
Trade: time=569.52, price=156, party1=S06, party2=B00
Trade: time=571.48, price=169, party1=P01, party2=B06
Trade: time=572.74, price=167, party1=S04, party2=B05
Trade: time=577.61, price=169, party1=P00, party2=B06
Trade: time=581.74, price=169, party1=P01, party2=B05
Trade: time=583.96, price=169, party1=P00, party2=B00
Trade: time=584.87, price=169, party1=P01, party2=B04
Trade: time=585.70, price=165, party1=S00, party2=B01
Trade: time=587.52, price=159, party1=B05, party2=S08
Trade: time=590.39, price=169, party1=P00, party2=B04
Trade: time=590.65, price=169, party1=P01, party2=B01
Trade: time=591.52, price=164, party1=B07, party2=S02
Trade: time=596.43, price=169, party1=P00, party2=B09
Trade: time=597.43, price=169, party1=P01, party2=B05
Trade: time=597.65, price=169, party1=P01, party2=B06
Trade: time=599.35, price=168, party1=B00, party2=S07
Trade: time=600.35, price=165, party1=B09, party2=S06
Trade: time=604.65, price=168, party1=B02, party2=S00
Trade: time=605.00, price=169, party1=P01, party2=B05
Trade: time=605.61, price=164, party1=B04, party2=S09
Trade: time=609.22, price=167, party1=S05, party2=B05
Trade: time=609.52, price=169, party1=P00, party2=B06
Trade: time=612.39, price=169, party1=P01, party2=B02
Trade: time=614.13, price=161, party1=S02, party2=B06
Trade: time=614.74, price=169, party1=P00, party2=B04
Trade: time=615.48, price=169, party1=P01, party2=B01
Trade: time=619.30, price=169, party1=P00, party2=B06
Trade: time=623.96, price=166, party1=B01, party2=S09
Trade: time=626.65, price=169, party1=P01, party2=B06
Trade: time=628.26, price=165, party1=S07, party2=B04
Trade: time=632.17, price=169, party1=P00, party2=B01
Trade: time=632.30, price=167, party1=B04, party2=S06
Trade: time=633.87, price=169, party1=P01, party2=B02
Trade: time=634.26, price=145, party1=S05, party2=B05
Trade: time=635.52, price=169, party1=P00, party2=B00
Trade: time=639.43, price=169, party1=P01, party2=B01
Trade: time=643.26, price=164, party1=B05, party2=S08
Trade: time=643.78, price=161, party1=S06, party2=B00
Trade: time=645.70, price=151, party1=B06, party2=S07
Trade: time=647.43, price=163, party1=S06, party2=B08
Trade: time=649.09, price=169, party1=P00, party2=B04
Trade: time=649.43, price=169, party1=P01, party2=B09
Trade: time=649.65, price=169, party1=P00, party2=B07
Trade: time=653.74, price=162, party1=S02, party2=B01
Trade: time=656.96, price=169, party1=P00, party2=B03
Trade: time=657.70, price=169, party1=P01, party2=B06
Trade: time=659.57, price=169, party1=P00, party2=B07
Trade: time=661.22, price=163, party1=S03, party2=B08
Trade: time=663.04, price=169, party1=P01, party2=B03
Trade: time=667.04, price=160, party1=S09, party2=B03
Trade: time=669.26, price=169, party1=P00, party2=B01
Trade: time=669.30, price=169, party1=P01, party2=B02
Trade: time=669.70, price=150, party1=B05, party2=S00
Trade: time=674.78, price=159, party1=S06, party2=B06
Trade: time=678.57, price=169, party1=P00, party2=B00
Trade: time=683.09, price=167, party1=B04, party2=S00
Trade: time=691.96, price=169, party1=P01, party2=B08
Trade: time=692.09, price=163, party1=B06, party2=S04
Trade: time=695.65, price=153, party1=B09, party2=S07
Trade: time=697.13, price=169, party1=P00, party2=B08
Trade: time=697.78, price=169, party1=P01, party2=B02
Trade: time=699.78, price=169, party1=P00, party2=B07
Trade: time=700.65, price=169, party1=P01, party2=B04
Trade: time=704.04, price=155, party1=S01, party2=B02
Trade: time=704.87, price=169, party1=P00, party2=B08
Trade: time=709.22, price=169, party1=P01, party2=B00
Trade: time=710.78, price=166, party1=S02, party2=B08
Trade: time=711.13, price=169, party1=P00, party2=B01
Trade: time=713.61, price=169, party1=P01, party2=B04
Trade: time=715.65, price=169, party1=P00, party2=B06
Trade: time=730.57, price=167, party1=S09, party2=B04
Trade: time=731.00, price=169, party1=P01, party2=B08
Trade: time=732.57, price=169, party1=P00, party2=B00
Trade: time=733.17, price=169, party1=P01, party2=B01
Trade: time=734.04, price=169, party1=P00, party2=B07
Trade: time=740.96, price=169, party1=P01, party2=B03
Trade: time=741.70, price=168, party1=S08, party2=B04
Trade: time=743.87, price=169, party1=P00, party2=B03
Trade: time=752.09, price=169, party1=P01, party2=B02
Trade: time=752.57, price=168, party1=S05, party2=B04
Trade: time=754.70, price=169, party1=P00, party2=B09
Trade: time=759.70, price=162, party1=S07, party2=B08
Trade: time=759.74, price=169, party1=P01, party2=B06
Trade: time=760.43, price=164, party1=B07, party2=S04
Trade: time=764.00, price=169, party1=P00, party2=B05
Trade: time=764.39, price=169, party1=P01, party2=B04
Trade: time=766.48, price=167, party1=B03, party2=S09
Trade: time=767.70, price=164, party1=S08, party2=B06
Trade: time=768.78, price=158, party1=B07, party2=S04
Trade: time=770.35, price=169, party1=P01, party2=B01
Trade: time=775.00, price=169, party1=P00, party2=B08
Trade: time=775.04, price=169, party1=P01, party2=B02
Trade: time=775.26, price=169, party1=P01, party2=B09
Trade: time=782.04, price=169, party1=P00, party2=B05
Trade: time=784.30, price=159, party1=S01, party2=B02
Trade: time=785.30, price=169, party1=P01, party2=B03
Trade: time=786.52, price=146, party1=S07, party2=B03
Trade: time=791.52, price=169, party1=P00, party2=B01
Trade: time=794.00, price=169, party1=P01, party2=B07
Trade: time=796.96, price=162, party1=S08, party2=B09
Trade: time=799.57, price=163, party1=S08, party2=B03
Trade: time=805.70, price=163, party1=S03, party2=B01
Trade: time=806.70, price=169, party1=P00, party2=B03
Trade: time=814.17, price=169, party1=P01, party2=B08
Trade: time=817.09, price=169, party1=P00, party2=B04
Trade: time=818.35, price=169, party1=P01, party2=B07
Trade: time=820.87, price=161, party1=B05, party2=S05
Trade: time=821.22, price=152, party1=S06, party2=B04
Trade: time=823.96, price=169, party1=P00, party2=B09
Trade: time=826.83, price=169, party1=P01, party2=B05
Trade: time=830.48, price=162, party1=S06, party2=B03
Trade: time=830.61, price=169, party1=P00, party2=B02
Trade: time=832.22, price=168, party1=S04, party2=B04
Trade: time=834.30, price=168, party1=B01, party2=S00
Trade: time=836.09, price=168, party1=S08, party2=B07
Trade: time=837.48, price=169, party1=P01, party2=B00
Trade: time=838.00, price=164, party1=B09, party2=S03
Trade: time=840.57, price=169, party1=P00, party2=B03
Trade: time=844.52, price=169, party1=P01, party2=B04
Trade: time=845.00, price=148, party1=S09, party2=B09
Trade: time=849.83, price=167, party1=B07, party2=S03
Trade: time=855.13, price=169, party1=P00, party2=B07
Trade: time=855.52, price=169, party1=P01, party2=B02
Trade: time=857.83, price=160, party1=B06, party2=S01
Trade: time=860.22, price=168, party1=B08, party2=S00
Trade: time=861.39, price=169, party1=P00, party2=B04
Trade: time=869.96, price=165, party1=B06, party2=S03
Trade: time=872.91, price=169, party1=P01, party2=B05
Trade: time=873.65, price=167, party1=B00, party2=S08
Trade: time=876.74, price=152, party1=B05, party2=S01
Trade: time=878.74, price=169, party1=P00, party2=B03
Trade: time=879.39, price=169, party1=P01, party2=B02
Trade: time=880.70, price=149, party1=B01, party2=S00
Trade: time=884.83, price=157, party1=B03, party2=S06
Trade: time=890.35, price=169, party1=P00, party2=B02
Trade: time=891.70, price=158, party1=S01, party2=B09
Trade: time=894.91, price=169, party1=P01, party2=B07
Trade: time=895.65, price=169, party1=P00, party2=B00
Trade: time=895.78, price=169, party1=P01, party2=B02
Trade: time=898.57, price=169, party1=P00, party2=B03
Trade: time=900.39, price=169, party1=P01, party2=B03
Trade: time=902.52, price=169, party1=P00, party2=B08
Trade: time=902.78, price=169, party1=P01, party2=B06
Trade: time=910.70, price=165, party1=S04, party2=B07
Trade: time=913.78, price=169, party1=P00, party2=B04
Trade: time=915.70, price=169, party1=P01, party2=B05
Trade: time=917.43, price=169, party1=P00, party2=B00
Trade: time=921.17, price=169, party1=P01, party2=B06
Trade: time=921.96, price=161, party1=B03, party2=S03
Trade: time=924.78, price=169, party1=P00, party2=B01
Trade: time=927.52, price=169, party1=P01, party2=B02
Trade: time=930.96, price=169, party1=P00, party2=B06
Trade: time=932.39, price=169, party1=P01, party2=B07
Trade: time=932.74, price=156, party1=B03, party2=S05
Trade: time=934.22, price=169, party1=P00, party2=B01
Trade: time=936.13, price=169, party1=P01, party2=B04
Trade: time=942.74, price=169, party1=P00, party2=B07
Trade: time=943.43, price=165, party1=B03, party2=S04
Trade: time=946.35, price=169, party1=P01, party2=B00
Trade: time=947.35, price=169, party1=P00, party2=B06
Trade: time=950.17, price=169, party1=P01, party2=B00
Trade: time=954.22, price=169, party1=P01, party2=B09
Trade: time=958.09, price=169, party1=P00, party2=B07
Trade: time=958.13, price=169, party1=P01, party2=B09
Trade: time=959.52, price=169, party1=P00, party2=B05
Trade: time=959.74, price=149, party1=S09, party2=B07
Trade: time=964.52, price=169, party1=P01, party2=B01
Trade: time=967.39, price=161, party1=B02, party2=S08
Trade: time=968.87, price=169, party1=P00, party2=B03
Trade: time=971.74, price=169, party1=P01, party2=B00
Trade: time=972.22, price=159, party1=S05, party2=B04
Trade: time=973.43, price=168, party1=S08, party2=B03
Trade: time=975.43, price=156, party1=B08, party2=S01
Trade: time=977.00, price=169, party1=P00, party2=B06
Trade: time=979.91, price=169, party1=P01, party2=B04
Trade: time=984.70, price=169, party1=P00, party2=B09
Trade: time=989.13, price=165, party1=B07, party2=S09
Trade: time=989.91, price=166, party1=S08, party2=B00
Trade: time=990.52, price=169, party1=P01, party2=B06
Trade: time=993.00, price=169, party1=P00, party2=B09
Trade: time=993.91, price=169, party1=P01, party2=B06
Trade: time=994.35, price=169, party1=P00, party2=B02
Trade: time=996.35, price=169, party1=P01, party2=B08
Trade: time=996.74, price=169, party1=P00, party2=B07
Trade: time=999.04, price=163, party1=B02, party2=S07
Trade: time=1002.04, price=169, party1=P00, party2=B01
Trade: time=1002.35, price=169, party1=P01, party2=B00
Trade: time=1003.35, price=169, party1=P00, party2=B09
Trade: time=1004.39, price=166, party1=B08, party2=S06
Trade: time=1006.35, price=164, party1=B09, party2=S01
Trade: time=1007.74, price=156, party1=S09, party2=B07
Trade: time=1010.39, price=169, party1=P01, party2=B01
Trade: time=1010.57, price=169, party1=P00, party2=B06
Trade: time=1012.78, price=158, party1=B07, party2=S08
Trade: time=1017.43, price=169, party1=P01, party2=B00
