Starting session: experiment_mix_1_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=3.82, price=157, party1=B02, party2=S09
Trade: time=7.18, price=169, party1=B09, party2=S09
Trade: time=10.64, price=160, party1=S04, party2=B07
Trade: time=19.95, price=158, party1=S09, party2=B00
Trade: time=26.27, price=184, party1=B06, party2=S07
Trade: time=28.36, price=152, party1=S02, party2=B02
Trade: time=30.45, price=169, party1=S02, party2=B03
Trade: time=34.50, price=169, party1=B07, party2=S02
Trade: time=39.05, price=162, party1=S07, party2=B09
Trade: time=39.68, price=173, party1=S09, party2=B04
Trade: time=48.09, price=160, party1=S05, party2=B03
Trade: time=48.55, price=164, party1=S09, party2=B09
Trade: time=55.09, price=181, party1=B04, party2=S00
Trade: time=56.73, price=180, party1=S08, party2=B03
Trade: time=59.95, price=168, party1=B01, party2=S07
Trade: time=61.09, price=153, party1=B02, party2=S02
Trade: time=61.36, price=176, party1=S03, party2=B09
Trade: time=62.68, price=147, party1=S01, party2=B06
Trade: time=64.50, price=184, party1=B02, party2=S08
Trade: time=74.05, price=173, party1=B01, party2=S06
Trade: time=78.27, price=172, party1=B09, party2=S07
Trade: time=78.36, price=174, party1=S05, party2=B08
Trade: time=80.59, price=138, party1=B05, party2=S00
Trade: time=82.09, price=161, party1=S08, party2=B06
Trade: time=85.82, price=146, party1=S00, party2=B04
Trade: time=89.68, price=167, party1=S08, party2=B05
Trade: time=93.27, price=148, party1=B08, party2=S00
Trade: time=93.77, price=162, party1=B04, party2=S03
Trade: time=99.82, price=158, party1=S03, party2=B09
Trade: time=100.59, price=171, party1=B09, party2=S01
Trade: time=110.77, price=150, party1=S08, party2=B06
Trade: time=116.36, price=164, party1=B02, party2=S05
Trade: time=117.73, price=153, party1=B04, party2=S03
Trade: time=120.95, price=166, party1=B09, party2=S05
Trade: time=122.77, price=149, party1=B02, party2=S09
Trade: time=124.41, price=146, party1=B02, party2=S03
Trade: time=124.86, price=168, party1=S06, party2=B05
Trade: time=126.95, price=163, party1=B07, party2=S08
Trade: time=130.64, price=178, party1=B09, party2=S00
Trade: time=130.82, price=151, party1=B07, party2=S04
Trade: time=136.23, price=163, party1=B02, party2=S01
Trade: time=139.18, price=167, party1=B06, party2=S08
Trade: time=139.91, price=176, party1=S05, party2=B07
Trade: time=140.27, price=145, party1=S02, party2=B02
Trade: time=142.18, price=192, party1=B01, party2=S09
Trade: time=144.45, price=174, party1=B03, party2=S01
Trade: time=145.86, price=161, party1=S02, party2=B07
Trade: time=148.36, price=151, party1=S08, party2=B08
Trade: time=152.09, price=167, party1=S07, party2=B01
Trade: time=158.64, price=161, party1=S02, party2=B02
Trade: time=170.91, price=154, party1=B00, party2=S01
Trade: time=177.73, price=166, party1=S02, party2=B07
Trade: time=178.59, price=192, party1=B08, party2=S01
Trade: time=178.64, price=163, party1=B02, party2=S05
Trade: time=182.18, price=185, party1=B08, party2=S08
Trade: time=191.50, price=150, party1=S08, party2=B01
Trade: time=191.64, price=161, party1=S03, party2=B09
Trade: time=196.59, price=161, party1=S08, party2=B08
Trade: time=197.59, price=133, party1=S02, party2=B07
Trade: time=198.05, price=159, party1=S03, party2=B02
Trade: time=200.86, price=184, party1=B05, party2=S00
Trade: time=207.09, price=161, party1=B01, party2=S00
Trade: time=209.18, price=157, party1=B02, party2=S01
Trade: time=212.82, price=172, party1=S05, party2=B08
Trade: time=213.00, price=162, party1=S09, party2=B01
Trade: time=213.86, price=158, party1=B07, party2=S01
Trade: time=219.32, price=166, party1=S04, party2=B06
Trade: time=223.09, price=153, party1=B05, party2=S00
Trade: time=229.23, price=148, party1=S07, party2=B08
Trade: time=230.82, price=139, party1=S01, party2=B03
Trade: time=231.68, price=186, party1=S03, party2=B03
Trade: time=232.09, price=173, party1=B04, party2=S06
Trade: time=237.18, price=179, party1=B09, party2=S05
Trade: time=239.73, price=194, party1=S08, party2=B04
Trade: time=240.27, price=154, party1=B08, party2=S02
Trade: time=253.55, price=160, party1=B06, party2=S04
Trade: time=254.50, price=160, party1=S01, party2=B03
Trade: time=257.55, price=184, party1=S03, party2=B09
Trade: time=259.27, price=145, party1=S04, party2=B04
Trade: time=259.91, price=151, party1=B06, party2=S07
Trade: time=268.05, price=166, party1=S01, party2=B03
Trade: time=271.05, price=174, party1=B08, party2=S02
Trade: time=272.64, price=142, party1=S06, party2=B01
Trade: time=276.73, price=206, party1=B03, party2=S08
Trade: time=281.45, price=174, party1=S02, party2=B07
Trade: time=284.18, price=157, party1=B08, party2=S02
Trade: time=284.64, price=191, party1=S06, party2=B06
Trade: time=295.09, price=171, party1=B03, party2=S08
Trade: time=295.27, price=143, party1=S07, party2=B02
Trade: time=301.14, price=208, party1=S07, party2=P01
Trade: time=306.45, price=204, party1=B03, party2=S02
Trade: time=319.95, price=180, party1=S00, party2=B06
Trade: time=320.77, price=152, party1=B05, party2=S07
Trade: time=325.68, price=146, party1=S01, party2=B04
Trade: time=335.45, price=175, party1=S05, party2=B05
Trade: time=338.14, price=190, party1=B08, party2=S03
Trade: time=338.32, price=168, party1=B04, party2=S01
Trade: time=345.45, price=179, party1=B03, party2=S06
Trade: time=346.14, price=175, party1=B00, party2=S02
Trade: time=347.27, price=180, party1=B05, party2=S05
Trade: time=353.73, price=179, party1=B03, party2=S02
Trade: time=357.23, price=164, party1=B05, party2=S08
Trade: time=362.95, price=181, party1=B00, party2=S06
Trade: time=364.18, price=184, party1=S05, party2=B08
Trade: time=364.23, price=165, party1=B02, party2=S08
Trade: time=372.68, price=154, party1=S05, party2=B00
Trade: time=377.68, price=165, party1=B00, party2=S04
Trade: time=379.09, price=151, party1=S01, party2=B01
Trade: time=381.77, price=136, party1=S07, party2=B05
Trade: time=382.64, price=180, party1=S03, party2=B04
Trade: time=383.14, price=196, party1=B06, party2=S00
Trade: time=388.73, price=135, party1=B08, party2=S06
Trade: time=396.09, price=197, party1=B03, party2=S05
Trade: time=401.27, price=196, party1=B02, party2=S06
Trade: time=405.23, price=164, party1=B09, party2=S01
Trade: time=406.50, price=172, party1=B02, party2=S03
Trade: time=406.77, price=153, party1=B03, party2=S08
Trade: time=408.91, price=167, party1=B01, party2=S07
Trade: time=417.64, price=172, party1=B05, party2=S05
Trade: time=418.41, price=161, party1=B03, party2=S09
Trade: time=418.77, price=186, party1=S06, party2=B07
Trade: time=419.05, price=174, party1=B08, party2=S00
Trade: time=422.00, price=168, party1=S04, party2=B07
Trade: time=425.00, price=163, party1=S00, party2=B05
Trade: time=426.00, price=136, party1=S05, party2=B08
Trade: time=427.77, price=177, party1=S09, party2=B01
Trade: time=430.50, price=178, party1=B05, party2=S02
Trade: time=431.23, price=177, party1=S08, party2=B01
Trade: time=432.27, price=175, party1=B03, party2=S01
Trade: time=435.18, price=196, party1=B00, party2=S05
Trade: time=442.14, price=205, party1=S09, party2=B09
Trade: time=443.55, price=193, party1=B05, party2=S03
Trade: time=450.05, price=174, party1=B07, party2=S01
Trade: time=453.32, price=164, party1=S02, party2=B06
Trade: time=454.91, price=176, party1=S07, party2=B03
Trade: time=462.73, price=177, party1=B08, party2=S03
Trade: time=466.41, price=186, party1=S07, party2=B09
Trade: time=467.23, price=185, party1=S01, party2=B03
Trade: time=471.95, price=186, party1=B09, party2=S01
Trade: time=480.41, price=168, party1=S01, party2=B04
Trade: time=487.36, price=185, party1=B07, party2=S06
Trade: time=489.50, price=150, party1=B04, party2=S07
Trade: time=490.86, price=154, party1=S05, party2=B09
Trade: time=491.00, price=173, party1=S02, party2=B06
Trade: time=498.73, price=160, party1=B00, party2=S06
Trade: time=499.36, price=206, party1=B06, party2=S00
Trade: time=511.32, price=169, party1=S04, party2=B06
Trade: time=511.50, price=174, party1=S00, party2=B00
Trade: time=512.77, price=161, party1=B02, party2=S05
Trade: time=518.32, price=150, party1=S02, party2=B09
Trade: time=523.64, price=160, party1=B03, party2=S02
Trade: time=529.00, price=167, party1=S01, party2=B01
Trade: time=532.86, price=167, party1=S03, party2=B02
Trade: time=541.77, price=153, party1=B04, party2=S07
Trade: time=542.27, price=188, party1=B09, party2=S02
Trade: time=547.32, price=167, party1=B09, party2=S04
Trade: time=548.05, price=154, party1=S03, party2=B07
Trade: time=551.86, price=175, party1=B03, party2=S06
Trade: time=554.23, price=181, party1=S03, party2=B01
Trade: time=556.18, price=181, party1=B05, party2=S00
Trade: time=560.32, price=173, party1=S06, party2=B08
Trade: time=564.95, price=164, party1=B06, party2=S06
Trade: time=578.95, price=150, party1=B09, party2=S00
Trade: time=579.14, price=142, party1=B08, party2=S04
Trade: time=583.95, price=178, party1=S00, party2=B02
Trade: time=584.82, price=156, party1=B08, party2=S07
Trade: time=585.59, price=165, party1=B02, party2=S02
Trade: time=587.91, price=169, party1=S01, party2=B03
Trade: time=589.45, price=201, party1=B05, party2=S00
Trade: time=597.36, price=150, party1=S05, party2=B09
Trade: time=599.77, price=160, party1=S03, party2=B07
Trade: time=610.09, price=171, party1=S03, party2=B04
Trade: time=614.41, price=150, party1=B09, party2=S07
Trade: time=616.73, price=152, party1=S02, party2=B02
Trade: time=616.82, price=179, party1=B07, party2=S09
Trade: time=619.00, price=150, party1=B07, party2=S01
Trade: time=619.09, price=186, party1=S08, party2=B08
Trade: time=620.77, price=165, party1=S05, party2=B05
Trade: time=620.95, price=181, party1=S00, party2=B04
Trade: time=633.18, price=146, party1=S03, party2=B01
Trade: time=640.00, price=153, party1=B06, party2=S00
Trade: time=640.36, price=179, party1=S09, party2=B07
Trade: time=642.45, price=187, party1=B00, party2=S05
Trade: time=647.32, price=174, party1=S00, party2=B03
Trade: time=649.05, price=172, party1=S02, party2=B02
Trade: time=649.32, price=180, party1=S01, party2=B06
Trade: time=653.23, price=161, party1=S06, party2=B04
Trade: time=655.41, price=173, party1=S00, party2=B09
Trade: time=661.86, price=146, party1=S00, party2=B02
Trade: time=664.14, price=156, party1=S06, party2=B06
Trade: time=667.68, price=183, party1=B05, party2=S02
Trade: time=673.95, price=166, party1=B09, party2=S07
Trade: time=677.91, price=152, party1=S07, party2=B05
Trade: time=679.68, price=161, party1=B02, party2=S01
Trade: time=683.50, price=173, party1=B07, party2=S01
Trade: time=685.50, price=195, party1=B00, party2=S05
Trade: time=686.27, price=123, party1=S04, party2=B09
Trade: time=694.86, price=178, party1=B09, party2=S01
Trade: time=695.59, price=154, party1=B03, party2=S07
Trade: time=698.91, price=164, party1=S04, party2=B07
Trade: time=700.50, price=161, party1=S09, party2=B08
Trade: time=700.82, price=154, party1=B03, party2=S02
Trade: time=705.09, price=182, party1=B04, party2=S09
Trade: time=713.41, price=182, party1=B06, party2=S03
Trade: time=713.91, price=191, party1=B09, party2=S00
Trade: time=714.27, price=180, party1=B05, party2=S09
Trade: time=721.32, price=180, party1=S03, party2=B04
Trade: time=723.50, price=167, party1=B06, party2=S06
Trade: time=728.82, price=185, party1=B01, party2=S03
Trade: time=731.14, price=170, party1=S02, party2=B00
Trade: time=740.09, price=189, party1=S04, party2=B06
Trade: time=747.86, price=179, party1=S07, party2=B02
