Starting session: baseline_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=497.55, price=171, party1=S09, party2=B00
Trade: time=500.41, price=174, party1=S00, party2=B07
Trade: time=503.68, price=156, party1=S08, party2=B06
Trade: time=504.59, price=162, party1=S06, party2=B08
Trade: time=508.09, price=163, party1=B01, party2=S05
Trade: time=510.41, price=160, party1=S08, party2=B08
Trade: time=513.05, price=153, party1=S07, party2=B01
Trade: time=514.86, price=158, party1=B03, party2=S03
Trade: time=522.95, price=164, party1=S01, party2=B03
Trade: time=524.00, price=171, party1=S07, party2=B06
Trade: time=526.77, price=159, party1=S04, party2=B00
Trade: time=529.91, price=162, party1=S06, party2=B00
Trade: time=531.91, price=171, party1=S00, party2=B05
Trade: time=537.09, price=150, party1=B01, party2=S08
Trade: time=537.32, price=179, party1=B04, party2=S02
Trade: time=544.32, price=154, party1=B03, party2=S07
Trade: time=550.64, price=177, party1=B03, party2=S01
Trade: time=553.36, price=168, party1=B05, party2=S08
Trade: time=565.82, price=157, party1=B04, party2=S04
Trade: time=566.41, price=168, party1=B09, party2=S03
Trade: time=566.77, price=167, party1=B02, party2=S06
Trade: time=567.73, price=147, party1=B08, party2=S07
Trade: time=570.14, price=148, party1=S08, party2=B01
Trade: time=571.86, price=147, party1=S09, party2=B04
Trade: time=582.82, price=171, party1=B02, party2=S05
Trade: time=587.95, price=162, party1=S02, party2=B01
Trade: time=595.32, price=166, party1=S08, party2=B03
Trade: time=599.09, price=182, party1=B08, party2=S00
Trade: time=606.45, price=163, party1=B08, party2=S08
Trade: time=607.64, price=153, party1=S01, party2=B01
Trade: time=616.32, price=151, party1=S05, party2=B07
Trade: time=617.82, price=159, party1=S06, party2=B09
Trade: time=625.45, price=163, party1=S02, party2=B06
Trade: time=627.18, price=151, party1=S04, party2=B07
Trade: time=629.82, price=160, party1=B09, party2=S04
Trade: time=630.73, price=171, party1=S01, party2=B04
Trade: time=631.86, price=163, party1=B03, party2=S00
Trade: time=634.64, price=159, party1=B06, party2=S03
Trade: time=635.50, price=161, party1=S08, party2=B00
Trade: time=649.18, price=168, party1=B03, party2=S09
Trade: time=655.73, price=173, party1=S02, party2=B02
Trade: time=656.45, price=168, party1=B06, party2=S01
Trade: time=658.23, price=173, party1=B07, party2=S00
Trade: time=660.14, price=168, party1=S08, party2=B00
Trade: time=660.55, price=171, party1=B09, party2=S07
Trade: time=661.95, price=162, party1=B08, party2=S09
Trade: time=662.59, price=167, party1=S00, party2=B07
Trade: time=663.82, price=170, party1=S07, party2=B01
Trade: time=668.91, price=179, party1=S08, party2=B03
Trade: time=674.05, price=172, party1=S06, party2=B09
Trade: time=677.23, price=161, party1=B04, party2=S05
Trade: time=678.45, price=171, party1=B02, party2=S02
Trade: time=689.68, price=154, party1=B01, party2=S06
Trade: time=695.68, price=161, party1=S00, party2=B02
Trade: time=700.23, price=158, party1=B06, party2=S02
Trade: time=706.91, price=159, party1=B03, party2=S07
Trade: time=707.32, price=162, party1=S09, party2=B00
Trade: time=710.36, price=155, party1=B09, party2=S01
Trade: time=715.64, price=156, party1=B04, party2=S04
Trade: time=721.95, price=171, party1=S04, party2=B06
Trade: time=727.14, price=166, party1=B03, party2=S05
Trade: time=733.05, price=163, party1=S08, party2=B09
Trade: time=752.45, price=169, party1=B09, party2=S06
Trade: time=754.55, price=163, party1=B00, party2=S07
