Starting session: experiment_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=489.23, price=161, party1=B02, party2=S05
Trade: time=495.36, price=148, party1=B08, party2=S09
Trade: time=500.91, price=173, party1=B01, party2=S01
Trade: time=505.68, price=172, party1=S09, party2=B09
Trade: time=505.91, price=163, party1=B06, party2=S00
Trade: time=512.95, price=167, party1=B08, party2=S08
Trade: time=515.14, price=159, party1=B04, party2=S02
Trade: time=517.45, price=176, party1=B03, party2=S00
Trade: time=526.32, price=181, party1=P00, party2=B00
Trade: time=527.45, price=164, party1=B04, party2=S02
Trade: time=527.73, price=181, party1=P00, party2=B05
Trade: time=528.41, price=147, party1=B03, party2=S03
Trade: time=533.73, price=162, party1=S00, party2=B09
Trade: time=541.27, price=181, party1=P00, party2=B08
Trade: time=545.95, price=160, party1=S09, party2=B01
Trade: time=553.14, price=158, party1=S01, party2=B00
Trade: time=554.05, price=176, party1=B09, party2=S00
Trade: time=557.00, price=157, party1=S07, party2=B06
Trade: time=558.82, price=174, party1=B01, party2=S02
Trade: time=566.23, price=176, party1=B09, party2=S00
Trade: time=576.32, price=181, party1=P00, party2=B01
Trade: time=579.09, price=166, party1=S06, party2=B06
Trade: time=583.05, price=168, party1=S08, party2=B03
Trade: time=594.55, price=159, party1=S03, party2=B05
Trade: time=597.45, price=164, party1=B04, party2=S04
Trade: time=606.91, price=179, party1=B03, party2=S05
Trade: time=608.27, price=177, party1=B06, party2=S03
Trade: time=609.95, price=165, party1=B08, party2=S00
Trade: time=616.05, price=149, party1=S06, party2=B03
Trade: time=624.68, price=181, party1=P00, party2=B09
Trade: time=625.59, price=168, party1=B05, party2=S04
Trade: time=633.18, price=177, party1=B09, party2=S05
Trade: time=635.14, price=172, party1=S02, party2=B02
Trade: time=646.64, price=177, party1=B06, party2=S06
Trade: time=652.82, price=181, party1=P00, party2=B03
Trade: time=653.86, price=176, party1=B06, party2=S06
Trade: time=660.45, price=178, party1=B00, party2=S02
Trade: time=663.45, price=180, party1=B02, party2=S09
Trade: time=665.09, price=169, party1=B00, party2=S07
Trade: time=668.00, price=161, party1=S00, party2=B06
Trade: time=670.23, price=161, party1=B05, party2=S01
Trade: time=682.41, price=178, party1=B00, party2=S06
Trade: time=688.32, price=157, party1=B07, party2=S07
Trade: time=690.18, price=171, party1=S05, party2=B00
Trade: time=691.45, price=181, party1=P00, party2=B04
Trade: time=694.95, price=169, party1=B05, party2=S04
Trade: time=696.09, price=174, party1=S09, party2=B08
Trade: time=703.27, price=154, party1=S03, party2=B01
Trade: time=723.77, price=168, party1=B09, party2=S05
Trade: time=725.64, price=181, party1=P00, party2=B03
Trade: time=735.50, price=181, party1=P00, party2=B01
Trade: time=740.50, price=162, party1=B09, party2=S03
Trade: time=742.41, price=181, party1=P00, party2=B01
Trade: time=746.59, price=161, party1=S07, party2=B08
Trade: time=746.68, price=181, party1=P00, party2=B02
Trade: time=751.45, price=166, party1=B03, party2=S03
Trade: time=758.14, price=181, party1=P00, party2=B02
Trade: time=761.77, price=176, party1=B03, party2=S05
Trade: time=764.82, price=154, party1=B03, party2=S04
Trade: time=767.91, price=171, party1=B00, party2=S02
Trade: time=770.59, price=159, party1=B02, party2=S09
Trade: time=775.18, price=168, party1=B03, party2=S09
Trade: time=777.41, price=173, party1=S08, party2=B00
Trade: time=791.05, price=178, party1=B00, party2=S03
Trade: time=795.68, price=155, party1=S09, party2=B07
Trade: time=799.68, price=172, party1=B04, party2=S08
Trade: time=802.77, price=169, party1=B00, party2=S07
Trade: time=804.41, price=154, party1=S09, party2=B02
Trade: time=809.41, price=170, party1=B08, party2=S03
Trade: time=812.64, price=162, party1=S06, party2=B01
Trade: time=815.41, price=169, party1=B06, party2=S01
Trade: time=817.73, price=181, party1=P00, party2=B07
Trade: time=819.91, price=164, party1=S08, party2=B03
Trade: time=821.14, price=152, party1=S01, party2=B00
Trade: time=821.55, price=157, party1=B02, party2=S04
Trade: time=823.59, price=166, party1=S02, party2=B01
Trade: time=828.36, price=170, party1=B04, party2=S06
Trade: time=838.27, price=181, party1=P00, party2=B00
Trade: time=842.09, price=167, party1=S06, party2=B03
Trade: time=847.14, price=181, party1=P00, party2=B02
Trade: time=852.18, price=166, party1=S01, party2=B03
Trade: time=853.23, price=181, party1=P00, party2=B01
Trade: time=856.77, price=169, party1=S08, party2=B03
Trade: time=859.59, price=172, party1=S03, party2=B02
Trade: time=859.64, price=161, party1=B01, party2=S08
Trade: time=869.36, price=168, party1=S06, party2=B07
Trade: time=871.18, price=177, party1=B07, party2=S09
Trade: time=871.45, price=171, party1=S02, party2=B09
Trade: time=874.32, price=180, party1=B04, party2=S01
Trade: time=880.82, price=162, party1=S09, party2=B09
Trade: time=881.73, price=181, party1=P00, party2=B01
Trade: time=882.68, price=157, party1=S00, party2=B07
Trade: time=886.05, price=165, party1=S01, party2=B04
Trade: time=891.36, price=172, party1=B07, party2=S00
Trade: time=894.95, price=173, party1=B01, party2=S05
Trade: time=900.73, price=167, party1=B08, party2=S03
Trade: time=904.64, price=164, party1=B03, party2=S09
Trade: time=905.86, price=162, party1=S04, party2=B02
Trade: time=907.27, price=158, party1=S07, party2=B08
Trade: time=919.09, price=159, party1=S06, party2=B08
Trade: time=927.32, price=181, party1=P00, party2=B09
Trade: time=928.41, price=173, party1=B08, party2=S06
Trade: time=933.05, price=180, party1=B03, party2=S09
Trade: time=946.50, price=162, party1=S02, party2=B03
Trade: time=948.05, price=165, party1=S00, party2=B09
Trade: time=954.18, price=166, party1=B07, party2=S04
Trade: time=957.73, price=152, party1=B02, party2=S02
Trade: time=959.09, price=157, party1=B06, party2=S04
Trade: time=959.14, price=163, party1=S00, party2=B01
Trade: time=963.14, price=178, party1=B04, party2=S00
Trade: time=964.00, price=170, party1=B03, party2=S03
Trade: time=965.32, price=172, party1=B01, party2=S05
Trade: time=968.14, price=178, party1=S00, party2=B06
Trade: time=970.82, price=175, party1=B08, party2=S03
Trade: time=971.55, price=181, party1=P00, party2=B01
Trade: time=973.05, price=181, party1=P00, party2=B06
Trade: time=984.86, price=174, party1=S00, party2=B06
Trade: time=987.55, price=142, party1=S06, party2=B01
Trade: time=990.95, price=181, party1=P00, party2=B06
Trade: time=996.73, price=157, party1=S02, party2=B02
Trade: time=998.91, price=156, party1=B03, party2=S08
Trade: time=1003.91, price=181, party1=P00, party2=B03
Trade: time=1004.41, price=181, party1=P00, party2=B09
Trade: time=1006.59, price=181, party1=P00, party2=B04
Trade: time=1008.95, price=172, party1=B05, party2=S00
Trade: time=1009.23, price=155, party1=B00, party2=S09
Trade: time=1018.73, price=176, party1=S07, party2=B01
Trade: time=1025.45, price=171, party1=B08, party2=S02
Trade: time=1026.64, price=165, party1=S03, party2=B03
Trade: time=1027.68, price=164, party1=B05, party2=S08
Trade: time=1030.27, price=175, party1=S04, party2=B05
Trade: time=1030.32, price=159, party1=B06, party2=S08
Trade: time=1038.59, price=153, party1=S01, party2=B01
Trade: time=1044.91, price=165, party1=S06, party2=B06
Trade: time=1050.50, price=152, party1=S00, party2=B04
Trade: time=1052.45, price=173, party1=B09, party2=S06
Trade: time=1052.50, price=160, party1=B05, party2=S03
Trade: time=1053.82, price=181, party1=P00, party2=B04
Trade: time=1058.77, price=159, party1=B02, party2=S03
Trade: time=1060.45, price=179, party1=B03, party2=S06
Trade: time=1062.86, price=159, party1=B06, party2=S02
Trade: time=1064.05, price=181, party1=P00, party2=B01
Trade: time=1069.55, price=176, party1=S01, party2=B03
Trade: time=1074.86, price=165, party1=B09, party2=S03
Trade: time=1075.00, price=172, party1=S07, party2=B02
Trade: time=1081.09, price=155, party1=B01, party2=S09
Trade: time=1082.27, price=166, party1=B08, party2=S03
Trade: time=1082.32, price=178, party1=S06, party2=B04
Trade: time=1082.95, price=153, party1=S02, party2=B07
Trade: time=1092.00, price=181, party1=P00, party2=B09
Trade: time=1092.64, price=173, party1=S03, party2=B08
Trade: time=1092.77, price=181, party1=P00, party2=B01
Trade: time=1099.73, price=181, party1=P00, party2=B05
Trade: time=1109.05, price=161, party1=B05, party2=S05
Trade: time=1112.73, price=160, party1=S01, party2=B03
Trade: time=1114.18, price=181, party1=P00, party2=B09
Trade: time=1131.00, price=178, party1=S05, party2=B04
Trade: time=1133.77, price=181, party1=P00, party2=B02
Trade: time=1137.00, price=181, party1=P00, party2=B03
Trade: time=1142.18, price=172, party1=B00, party2=S01
Trade: time=1143.64, price=168, party1=B04, party2=S08
Trade: time=1153.82, price=174, party1=S01, party2=B07
Trade: time=1156.50, price=150, party1=S07, party2=B06
Trade: time=1161.36, price=163, party1=S06, party2=B08
Trade: time=1167.14, price=181, party1=P00, party2=B06
Trade: time=1167.77, price=151, party1=B03, party2=S04
Trade: time=1168.73, price=181, party1=P00, party2=B09
Trade: time=1169.82, price=169, party1=B04, party2=S09
Trade: time=1177.00, price=178, party1=S07, party2=B08
Trade: time=1180.68, price=176, party1=S03, party2=B04
Trade: time=1184.73, price=165, party1=B04, party2=S00
Trade: time=1185.00, price=154, party1=B01, party2=S05
Trade: time=1186.18, price=181, party1=P00, party2=B02
Trade: time=1187.64, price=178, party1=B02, party2=S01
Trade: time=1190.09, price=160, party1=S09, party2=B05
Trade: time=1191.86, price=172, party1=B02, party2=S08
Trade: time=1193.95, price=172, party1=B08, party2=S03
Trade: time=1197.82, price=163, party1=S04, party2=B09
Trade: time=1202.45, price=163, party1=S01, party2=B01
Trade: time=1209.05, price=174, party1=S02, party2=B01
Trade: time=1210.68, price=181, party1=P00, party2=B08
Trade: time=1218.50, price=154, party1=B07, party2=S02
Trade: time=1218.68, price=181, party1=P00, party2=B06
Trade: time=1219.05, price=181, party1=P00, party2=B03
Trade: time=1219.23, price=166, party1=S04, party2=B09
